name,lng,lat
Alabama A & M University,-86.568502,34.783368
University of Alabama at Birmingham,-86.799345,33.505697
Amridge University,-86.17401,32.362609
University of Alabama in Huntsville,-86.640449,34.724557
Alabama State University,-86.295677,32.364317
The University of Alabama,-87.545766,33.2144
Athens State University,-86.96514,34.805625
Auburn University at Montgomery,-86.177351,32.369939
Auburn University,-85.488258,32.599378
Birmingham Southern College,-86.850552,33.513774
Concordia College Alabama,-87.023531,32.42443
South University-Montgomery,-86.216488,32.342684
Faulkner University,-86.21641,32.384181
Herzing University-Birmingham,-86.832299,33.468105
Huntingdon College,-86.285313,32.350939
Heritage Christian University,-87.662062,34.859089
Jacksonville State University,-85.765321,33.822938
Judson College,-87.316127,32.630526
University of West Alabama,-88.186329,32.588132
Miles College,-86.908605,33.481306
University of Mobile,-88.128934,30.793247
University of Montevallo,-86.865099,33.10625
University of North Alabama,-87.681361,34.806738
Oakwood University,-86.652705,34.756344
Samford University,-86.791799,33.464128
Selma University,-87.033826,32.420358
University of South Alabama,-88.178711,30.696033
Spring Hill College,-88.138199,30.694751
Stillman College,-87.585242,33.199228
Talladega College,-86.112704,33.433472
Troy University,-85.957094,31.800672
Tuskegee University,-85.708492,32.4309
United States Sports Academy,-87.91163,30.639329
University of Alaska Anchorage,-149.82619,61.190163
Alaska Bible College,-149.111972,61.598553
University of Alaska Fairbanks,-147.823146,64.85756
University of Alaska Southeast,-134.638255,58.384846
Alaska Pacific University,-149.804242,61.191235
Charter College,-122.494766,45.617798
Thunderbird School of Global Management,-112.180861,33.620887
CollegeAmerica-Flagstaff,-111.657673,35.194495
Brookline College-Phoenix,-112.112473,33.566102
Arizona State University-Tempe,-111.934383,33.417721
University of Arizona,-110.950815,32.232672
Southwest University of Visual Arts-Tucson,-110.927321,32.252384
Brown Mackie College-Tucson,-110.895086,32.236736
Embry-Riddle Aeronautical University-Prescott,-112.449741,34.616766
School of Architecture at Taliesin,-111.843211,33.60205
Grand Canyon University,-112.129917,33.512172
Dine College,-109.21684,36.293328
Northern Arizona University,-111.653724,35.188449
Ottawa University-Phoenix,-112.113291,33.57172
Pima Medical Institute-Tucson,-110.921306,32.250448
Prescott College,-112.476509,34.5445
Arizona Christian University,-112.026211,33.595117
Western International University,-111.965121,33.40244
University of Arkansas at Little Rock,-92.341835,34.726644
University of Arkansas for Medical Sciences,-92.320046,34.749048
Arkansas Baptist College,-92.290555,34.734751
Lyon College,-91.625354,35.777619
University of Arkansas,-94.176981,36.070009
University of Arkansas at Pine Bluff,-92.018683,34.244031
Arkansas State University-Main Campus,-90.679988,35.842388
Arkansas Tech University,-93.13562,35.293237
University of Arkansas at Monticello,-91.811153,33.590909
University of Central Arkansas,-92.457672,35.077945
Central Baptist College,-92.444102,35.084574
Crowley's Ridge College,-90.58482,36.066239
Harding University,-91.726041,35.247337
Henderson State University,-93.060313,34.127792
Hendrix College,-92.442021,35.09972
John Brown University,-94.560283,36.189812
Ouachita Baptist University,-93.052442,34.125045
University of the Ozarks,-93.467924,35.477785
Philander Smith College,-92.283015,34.737131
Williams Baptist College,-90.940277,36.125676
Southern Arkansas University Main Campus,-93.235087,33.291195
University of Arkansas-Fort Smith,-94.373729,35.384184
Academy of Art University,-122.400686,37.787748
Academy of Chinese Culture and Health Sciences,-122.272733,37.806662
American Baptist Seminary of the West,-122.256149,37.865252
American Film Institute Conservatory,-118.309989,34.10846
American Conservatory Theater,-122.404945,37.787326
Antelope Valley College,-118.186166,34.676207
Art Center College of Design,-118.186901,34.170844
Azusa Pacific University,-117.88795,34.130865
Bakersfield College,-118.973491,35.4108
Bethesda University,-117.941323,33.842295
Biola University,-118.017342,33.904823
Bryan University,,
Phillips Graduate University,-118.567688,34.242
California Institute of Integral Studies,-122.416537,37.774768
California Baptist University,-117.42587,33.928569
California College of the Arts,-122.399451,37.767485
University of California-Hastings College of Law,-122.415395,37.780718
California Institute of Technology,-118.12574,34.139275
California Lutheran University,-118.879467,34.225551
California Polytechnic State University-San Luis Obispo,-120.657311,35.299513
Alliant International University-San Diego,-117.094398,32.897056
California State University-Bakersfield,-119.104711,35.350005
California State University-Stanislaus,-120.852511,37.52577
California State University-San Bernardino,-117.322508,34.182987
California State Polytechnic University-Pomona,-117.819019,34.054273
California State University-Chico,-121.844859,39.729712
California State University-Dominguez Hills,-118.259316,33.86524
California State University-Fresno,-119.748258,36.814477
California State University-Fullerton,-117.885349,33.883627
California State University-East Bay,-122.058073,37.65707
California State University-Long Beach,-118.11204,33.782818
California State University-Los Angeles,-118.168965,34.066927
California State University-Northridge,-118.526817,34.23671
California State University-Sacramento,-121.42194,38.55745
University of California-Berkeley,-122.260463,37.871918
University of California-Davis,-121.751958,38.539895
University of California-Irvine,-117.841248,33.648434
University of California-Los Angeles,-118.443901,34.068892
University of California-Riverside,-117.331098,33.97588
University of California-San Diego,-117.237793,32.876598
University of California-San Francisco,-122.458049,37.762736
University of California-Santa Barbara,-119.846426,34.416297
University of California-Santa Cruz,-122.058801,36.995584
Sofia University,-122.10866,37.430325
California Christian College,-119.711123,36.749366
California Institute of the Arts,-118.567303,34.393337
California State University Maritime Academy,-122.231551,38.069061
California Western School of Law,-117.162597,32.72194
Chapman University,-117.851481,33.793678
Charles R Drew University of Medicine and Science,-118.242791,33.925658
Concordia University-Irvine,-117.81063,33.6535
San Diego Christian College,-116.978112,32.842404
Church Divinity School of the Pacific,-122.261391,37.876169
Claremont Graduate University,-117.712394,34.103778
Claremont McKenna College,-117.706593,34.102323
Cogswell College,-121.94087,37.414049
Coleman University,-117.136493,32.821962
Western University of Health Sciences,-117.747732,34.058092
Columbia College Hollywood,-118.538394,34.179596
Cypress College,-118.023889,33.827625
Dell'Arte International School of Physical Theatre,-123.988808,40.880924
Design Institute of San Diego,-117.167374,32.880926
Dominican University of California,-122.514654,37.980014
Dominican School of Philosophy & Theology,-122.264612,37.881099
Emperor's College of Traditional Oriental Medicine,-118.4847,34.0303
Empire College,-122.728642,38.467789
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,-118.25993,34.044209
FIDM-Fashion Institute of Design & Merchandising-San Francisco,-122.406503,37.786324
Feather River Community College District,-120.970877,39.952395
Fielding Graduate University,-119.717161,34.42941
Five Branches University,-121.998478,36.964133
Foothill College,-122.127964,37.361655
Franciscan School of Theology,-117.320066,33.232416
Fresno Pacific University,-119.731953,36.725279
Fuller Theological Seminary,-118.140261,34.14778
Golden Gate University-San Francisco,-122.398785,37.789208
Graduate Theological Union,-122.261847,37.87554
Harvey Mudd College,-117.710594,34.106137
Holy Names University,-122.18717,37.802654
Pacifica Graduate Institute,-119.580264,34.420464
Humboldt State University,-124.0814,40.8741
Humphreys University-Stockton and Modesto Campuses,-121.316401,38.011051
Interior Designers Institute,-117.865722,33.641393
John F. Kennedy University,-122.054761,37.956616
American Jewish University,-118.471764,34.128099
Life Pacific College,-117.829388,34.098705
Argosy University-The Art Institute of California-San Diego,-117.155395,32.778278
University of La Verne,-117.772634,34.10086
Laguna College of Art and Design,-117.772564,33.561448
Life Chiropractic College West,-122.11627,37.637639
Lincoln University,-122.269745,37.804788
Southern California Seminary,-116.900531,32.803259
La Sierra University,,
Loma Linda University,-117.260605,34.051241
Southern California University of Health Sciences,-117.985447,33.924638
The Master's University and Seminary,-118.517422,34.38214
Argosy University-The Art Institute of California-San Francisco,-122.413417,37.780569
Loyola Marymount University,-118.415744,33.97085
Marymount California University,-118.333404,33.73463
Menlo College,-122.190797,37.453475
Mills College,-122.18789,37.782639
MiraCosta College,-117.302283,33.191231
Modesto Junior College,-121.009723,37.652042
Middlebury Institute of International Studies at Monterey,-121.896813,36.599827
Mount Saint Mary's University,-118.480471,34.082112
Musicians Institute,-118.337582,34.101265
National University,-117.244243,32.909469
Newschool of Architecture and Design,-117.153305,32.71331
Notre Dame de Namur University,-122.284618,37.517501
Occidental College,-118.210783,34.126224
Otis College of Art and Design,-118.416615,33.956607
Hope International University,-117.88573,33.87616
Palo Alto University,-122.186022,37.383251
Pacific Oaks College,-118.151323,34.153382
Pacific School of Religion,-122.263331,37.876599
Pacific States University,-118.298408,34.061315
Pacific Union College,-122.440308,38.570585
University of the Pacific,-121.312301,37.981424
Pepperdine University,-118.707077,34.037786
Pitzer College,-117.705939,34.103408
Platt College-San Diego,-117.063483,32.76373
Point Loma Nazarene University,-117.251204,32.713295
Pomona College,-117.711944,34.098298
Santa Ana College,-117.888384,33.759203
Pardee RAND Graduate School,-118.49047,34.009975
University of Redlands,-117.163847,34.063571
Rio Hondo College,-118.033329,34.019878
Argosy University-San Francisco Bay Area,-122.267523,37.781238
Dongguk University-Los Angeles,-118.289927,34.066226
Samuel Merritt University,-122.266331,37.82029
San Diego Mesa College,-117.169165,32.803825
San Diego State University,-117.071228,32.77525
University of San Diego,-117.188721,32.77142
San Francisco Art Institute,-122.417,37.803575
San Francisco Conservatory of Music,-122.420143,37.775322
San Francisco State University,-122.477905,37.721345
San Francisco Theological Seminary,-122.564302,37.969594
University of San Francisco,-122.450977,37.775564
